class,forest
row,35
col,55
wavelength_nm,value
400.0,5.1799999999999995e-06
401.32,2.107e-05
402.64,1.218e-05
403.96,2.291e-05
405.27,1.432e-05
406.59,1.162e-05
407.91,8.68e-06
409.23,1.545e-05
410.55,2.953e-05
411.87,1.064e-05
413.19,1.107e-05
414.51,7.65e-06
415.82,2.149e-05
417.14,2.026e-05
418.46,9.84e-06
419.78,1.1740000000000001e-05
421.1,4.36e-06
422.42,1.2080000000000001e-05
423.74,2.193e-05
425.05,1.3120000000000001e-05
426.37,7.499999999999999e-06
427.69,1.0399999999999999e-05
429.01,9.36e-06
430.33,1.97e-05
431.65,1.01e-05
432.97,1.012e-05
434.29,6.3399999999999994e-06
435.6,2.371e-05
436.92,1.794e-05
438.24,1.5029999999999998e-05
439.56,9.45e-06
440.88,9.74e-06
442.2,2.221e-05
443.52,1.5459999999999998e-05
444.84,2.6490000000000002e-05
446.15,8.609999999999999e-06
447.47,1.1360000000000001e-05
448.79,7.76e-06
450.11,1.898e-05
451.43,2.9089999999999998e-05
452.75,1.024e-05
454.07,1.2470000000000001e-05
455.38,4.85e-06
456.7,1.3059999999999999e-05
458.02,2.067e-05
459.34,1.07e-05
460.66,8.400000000000001e-06
461.98,1.338e-05
463.3,1.03e-05
464.62,1.811e-05
465.93,1.0199999999999999e-05
467.25,9.289999999999999e-06
468.57,1.109e-05
469.89,2.667e-05
471.21,1.708e-05
472.53,1.19e-05
473.85,8.409999999999999e-06
475.16,4.399999999999999e-06
476.48,2.0660000000000002e-05
477.8,1.5720000000000002e-05
479.12,2.256e-05
480.44,1.213e-05
481.76,8.390000000000001e-06
483.08,6.909999999999999e-06
484.4,1.613e-05
485.71,2.874e-05
487.03,1.276e-05
488.35,1.172e-05
489.67,6.3299999999999995e-06
490.99,2.355e-05
492.31,1.746e-05
493.63,9.91e-06
494.95,1.12e-05
496.26,6.64e-06
497.58,1.414e-05
498.9,1.82e-05
500.22,8.24e-06
501.54,7.18e-06
502.86,1.097e-05
504.18,1.2489999999999999e-05
505.49,2.191e-05
506.81,1.041e-05
508.13,1.043e-05
509.45,8.77e-06
510.77,2.371e-05
512.09,1.539e-05
513.41,1.464e-05
514.73,1.182e-05
516.04,1.053e-05
517.36,1.9220000000000002e-05
518.68,1.366e-05
520.0,2.493e-05
521.32,1.049e-05
522.64,9.71e-06
523.96,7.79e-06
525.27,2.103e-05
526.59,2.7079999999999998e-05
527.91,1.084e-05
529.23,1.229e-05
530.55,4.58e-06
531.87,1.288e-05
533.19,1.78e-05
534.51,9.859999999999999e-06
535.82,9.41e-06
537.14,8.48e-06
538.46,1.3120000000000001e-05
539.78,1.848e-05
541.1,1.3530000000000001e-05
542.42,1.008e-05
543.74,1.244e-05
545.05,2.808e-05
546.37,1.768e-05
547.69,1.404e-05
549.01,7.049999999999999e-06
550.33,2.9e-06
551.65,2.214e-05
552.97,1.4649999999999999e-05
554.29,2.06e-05
555.6,1.168e-05
556.92,7.26e-06
558.24,8.69e-06
559.56,1.957e-05
560.88,2.793e-05
562.2,1.129e-05
563.52,1.4499999999999998e-05
564.84,6.8e-06
566.15,1.7780000000000003e-05
567.47,2.023e-05
568.79,7.96e-06
570.11,1.272e-05
571.43,8.580000000000001e-06
572.75,1.063e-05
574.07,1.891e-05
575.38,1.205e-05
576.7,7.45e-06
578.02,1.366e-05
579.34,1.148e-05
580.66,2.144e-05
581.98,1.21e-05
583.3,6.619999999999999e-06
584.62,5.89e-06
585.93,2.346e-05
587.25,1.651e-05
588.57,1.296e-05
589.89,1.138e-05
591.21,9.65e-06
592.53,1.096e-05
593.85,1.9070000000000002e-05
595.16,2.637e-05
596.48,6e-06
597.8,9.45e-06
599.12,9.63e-06
600.44,1.16e-05
601.76,3.146e-05
603.08,1.092e-05
604.4,6.529999999999999e-06
605.71,7.92e-06
607.03,1.27e-05
608.35,1.767e-05
609.67,1.243e-05
610.99,7.430000000000001e-06
612.31,1.461e-05
613.63,1.167e-05
614.95,9.07e-06
616.26,1.2620000000000001e-05
617.58,1.035e-05
618.9,3e-06
620.22,2.45e-05
621.54,1.834e-05
622.86,1.0359999999999999e-05
624.18,1.065e-05
625.49,3.19e-06
626.81,8.59e-06
628.13,1.701e-05
629.45,2.361e-05
630.77,7.630000000000001e-06
632.09,9.04e-06
633.41,6.63e-06
634.73,1.493e-05
636.04,3.0070000000000002e-05
637.36,6.469999999999999e-06
638.68,1.081e-05
640.0,5.39e-06
641.32,1.191e-05
642.64,2.118e-05
643.96,9.610000000000001e-06
645.27,7.22e-06
646.59,4.44e-06
647.91,1.145e-05
649.23,1.2970000000000001e-05
650.55,1.2280000000000001e-05
651.87,1.065e-05
653.19,5.559999999999999e-06
654.51,1.2859999999999999e-05
655.82,2.218e-05
657.14,5.81e-06
658.46,8.050000000000001e-06
659.78,3.6700000000000004e-06
661.1,2.7089999999999996e-05
662.42,1.644e-05
663.74,8.97e-06
665.05,9.59e-06
666.37,9.080000000000001e-06
667.69,7.75e-06
669.01,1.544e-05
670.33,2.452e-05
671.65,5.39e-06
672.97,1.125e-05
674.29,9.110000000000001e-06
675.6,1.4119999999999999e-05
676.92,2.823e-05
678.24,8.96e-06
