class,bare_soil
row,120
col,155
wavelength_nm,value
400.0,2.479e-05
401.32,1.765e-05
402.64,1.824e-05
403.96,1.029e-05
405.27,1.216e-05
406.59,1.207e-05
407.91,1.575e-05
409.23,2.271e-05
410.55,9.13e-06
411.87,1.455e-05
413.19,9.37e-06
414.51,1.257e-05
415.82,1.613e-05
417.14,9.420000000000001e-06
418.46,1.2770000000000001e-05
419.78,1.166e-05
421.1,1.358e-05
422.42,1.865e-05
423.74,9.32e-06
425.05,7.049999999999999e-06
426.37,1.29e-05
427.69,2.4069999999999998e-05
429.01,2.3330000000000002e-05
430.33,1.0680000000000001e-05
431.65,9.54e-06
432.97,7.96e-06
434.29,2.451e-05
435.6,1.9719999999999998e-05
436.92,1.661e-05
438.24,1.081e-05
439.56,4.32e-06
440.88,1.012e-05
442.2,1.6919999999999997e-05
443.52,1.685e-05
444.84,7.190000000000001e-06
446.15,9.98e-06
447.47,1.175e-05
448.79,1.878e-05
450.11,1.4269999999999999e-05
451.43,7.3899999999999995e-06
452.75,1.416e-05
454.07,1.404e-05
455.38,1.181e-05
456.7,1.774e-05
458.02,9.97e-06
459.34,8.15e-06
460.66,1.529e-05
461.98,1.261e-05
463.3,2.695e-05
464.62,1.117e-05
465.93,8.43e-06
467.25,8.43e-06
468.57,2.291e-05
469.89,2.228e-05
471.21,1.565e-05
472.53,1.058e-05
473.85,7.0300000000000005e-06
475.16,2.899e-05
476.48,1.556e-05
477.8,2e-05
479.12,9.78e-06
480.44,1.225e-05
481.76,1.1700000000000001e-05
483.08,1.6250000000000002e-05
484.4,2.726e-05
485.71,9.47e-06
487.03,1.171e-05
488.35,5.67e-06
489.67,1.424e-05
490.99,1.772e-05
492.31,8.13e-06
493.63,1.039e-05
494.95,1.024e-05
496.26,1.197e-05
497.58,2.097e-05
498.9,1.166e-05
500.22,1.022e-05
501.54,1.085e-05
502.86,2.5629999999999997e-05
504.18,2.719e-05
505.49,1.2489999999999999e-05
506.81,1.296e-05
508.13,4.86e-06
509.45,2.698e-05
510.77,2.035e-05
512.09,1.649e-05
513.41,1.4000000000000001e-05
514.73,2.36e-06
516.04,1.138e-05
517.36,1.59e-05
518.68,2.0130000000000002e-05
520.0,1.0860000000000001e-05
521.32,1.2460000000000001e-05
522.64,8.78e-06
523.96,1.553e-05
525.27,1.6780000000000002e-05
526.59,7.620000000000001e-06
527.91,1.041e-05
529.23,1.4710000000000001e-05
530.55,1.424e-05
531.87,1.571e-05
533.19,9.610000000000001e-06
534.51,7.3999999999999995e-06
535.82,1.2790000000000001e-05
537.14,1.222e-05
538.46,2.4690000000000002e-05
539.78,1.2270000000000001e-05
541.1,9.610000000000001e-06
542.42,6.76e-06
543.74,2.7329999999999998e-05
545.05,2.4560000000000002e-05
