class,water
row,95
col,72
wavelength_nm,value
400.0,9.85e-06
401.32,1.981e-05
402.64,1.4349999999999998e-05
403.96,1.761e-05
405.27,1.452e-05
406.59,7.1e-06
407.91,1.499e-05
409.23,1.672e-05
410.55,2.998e-05
411.87,1.028e-05
413.19,1.067e-05
414.51,9.77e-06
415.82,2.374e-05
417.14,2.773e-05
418.46,1.216e-05
419.78,1.255e-05
421.1,5.93e-06
422.42,9.93e-06
423.74,1.897e-05
425.05,1.3589999999999999e-05
426.37,5.9799999999999995e-06
427.69,1.402e-05
429.01,9.5e-06
430.33,1.903e-05
431.65,9.56e-06
432.97,8.079999999999999e-06
434.29,9.289999999999999e-06
435.6,2.304e-05
436.92,1.401e-05
438.24,1.278e-05
439.56,7.090000000000001e-06
440.88,8.409999999999999e-06
442.2,1.879e-05
443.52,1.555e-05
444.84,2.822e-05
446.15,1.186e-05
447.47,1.0889999999999999e-05
448.79,6.89e-06
450.11,1.9600000000000002e-05
451.43,2.8120000000000002e-05
452.75,1.19e-05
454.07,1.013e-05
455.38,6.05e-06
456.7,2.2839999999999998e-05
458.02,1.9450000000000002e-05
459.34,1.0549999999999999e-05
460.66,1.187e-05
461.98,6.39e-06
463.3,9.139999999999999e-06
464.62,1.8010000000000002e-05
465.93,1.6100000000000002e-05
467.25,7.83e-06
468.57,1.366e-05
469.89,1.514e-05
471.21,1.741e-05
472.53,1.55e-05
473.85,7.6e-06
475.16,1.084e-05
476.48,1.84e-05
477.8,1.3359999999999999e-05
479.12,1.3650000000000001e-05
480.44,1.241e-05
481.76,9.69e-06
483.08,1.3769999999999999e-05
484.4,1.6989999999999998e-05
485.71,2.6490000000000002e-05
487.03,9.88e-06
488.35,6.8e-06
489.67,8.580000000000001e-06
490.99,2.213e-05
492.31,2.553e-05
493.63,1.03e-05
494.95,1.2509999999999999e-05
496.26,6.279999999999999e-06
497.58,1.384e-05
498.9,1.793e-05
500.22,1.2790000000000001e-05
501.54,6.73e-06
502.86,1.1700000000000001e-05
504.18,1.072e-05
505.49,1.69e-05
506.81,1.2859999999999999e-05
508.13,7.11e-06
509.45,1.346e-05
510.77,2.24e-05
512.09,1.804e-05
513.41,1.2460000000000001e-05
514.73,8.81e-06
516.04,8.53e-06
517.36,1.7860000000000002e-05
518.68,1.2679999999999999e-05
520.0,2.7300000000000003e-05
521.32,9.73e-06
522.64,6.8599999999999995e-06
523.96,2.81e-06
525.27,1.827e-05
526.59,2.6340000000000002e-05
527.91,1.03e-05
529.23,1.128e-05
530.55,7.2999999999999996e-06
531.87,2.2159999999999998e-05
533.19,2.008e-05
534.51,1.097e-05
535.82,1.338e-05
537.14,7.820000000000001e-06
538.46,1.242e-05
539.78,1.7780000000000003e-05
541.1,1.532e-05
542.42,8e-06
543.74,1.378e-05
545.05,1.2299999999999999e-05
546.37,1.747e-05
547.69,1.285e-05
549.01,5.12e-06
550.33,1.2080000000000001e-05
551.65,1.958e-05
552.97,1.34e-05
554.29,1.3300000000000001e-05
555.6,1.1700000000000001e-05
556.92,9.110000000000001e-06
558.24,1.6780000000000002e-05
559.56,1.873e-05
560.88,3.127e-05
562.2,1.181e-05
563.52,8.04e-06
564.84,4.63e-06
566.15,2.2950000000000002e-05
567.47,2.783e-05
568.79,1.199e-05
570.11,1.237e-05
571.43,8.200000000000001e-06
572.75,1.13e-05
574.07,1.925e-05
575.38,1.2620000000000001e-05
576.7,1.322e-05
578.02,1.103e-05
579.34,1.444e-05
580.66,1.711e-05
581.98,1.182e-05
583.3,7.18e-06
584.62,8.84e-06
585.93,2.287e-05
587.25,1.879e-05
588.57,1.095e-05
589.89,6.270000000000001e-06
591.21,8.52e-06
