class,green_area
row,40
col,120
wavelength_nm,value
400.0,2.793e-05
401.32,1.287e-05
402.64,1.003e-05
403.96,6.39e-06
405.27,1.935e-05
406.59,2.8139999999999998e-05
407.91,8.79e-06
409.23,1.107e-05
410.55,5.74e-06
411.87,2.5090000000000002e-05
413.19,2.0019999999999998e-05
414.51,1.305e-05
415.82,1.035e-05
417.14,1.229e-05
418.46,1.2120000000000001e-05
419.78,1.67e-05
421.1,1.3680000000000001e-05
422.42,9.17e-06
423.74,9.93e-06
425.05,1.245e-05
426.37,1.7599999999999998e-05
427.69,1.446e-05
429.01,1e-05
430.33,3.6900000000000002e-06
431.65,1.986e-05
432.97,1.5609999999999998e-05
434.29,2.4770000000000002e-05
435.6,1.039e-05
436.92,1.186e-05
438.24,1.804e-05
439.56,1.648e-05
440.88,2.7779999999999998e-05
442.2,7.620000000000001e-06
443.52,1.19e-05
444.84,3.95e-06
446.15,2.1190000000000002e-05
447.47,2.919e-05
448.79,9.16e-06
450.11,1.252e-05
451.43,4.5e-06
452.75,1.1459999999999999e-05
454.07,1.9189999999999998e-05
455.38,1.3589999999999999e-05
456.7,8.67e-06
458.02,1.176e-05
459.34,1.117e-05
460.66,1.547e-05
461.98,1.349e-05
463.3,8.269999999999999e-06
464.62,1.2650000000000001e-05
465.93,2.5e-05
467.25,1.55e-05
468.57,1.298e-05
469.89,1.069e-05
471.21,9.23e-06
472.53,1.764e-05
473.85,1.715e-05
475.16,2.716e-05
476.48,1.225e-05
477.8,8.37e-06
479.12,5.94e-06
480.44,2.1210000000000002e-05
481.76,2.7239999999999997e-05
483.08,8.069999999999999e-06
484.4,1.12e-05
485.71,6.750000000000001e-06
487.03,2.241e-05
488.35,2.102e-05
489.67,1.137e-05
490.99,1.065e-05
492.31,1.216e-05
493.63,1.402e-05
494.95,1.6689999999999998e-05
496.26,1.6159999999999998e-05
497.58,7.96e-06
498.9,1.1419999999999999e-05
500.22,1.209e-05
501.54,1.661e-05
502.86,1.381e-05
504.18,5.84e-06
505.49,7.18e-06
